TransferSyntax||||||Little Endian Implicit
PixelSpacing|0028|0030|DS|2| 16|[1.46484\1.46484]                        
ZoomFactor|0028|0031|DS|2| 14|[1.2664\1.2664]                          
ZoomCenter|0028|0032|DS|2| 18|[0.456697\-19.4751]                      
PixelAspectRatio|0028|0034|IS|2|  4|[1\1]                                    
BitsAllocated|0028|0100|US|1|  2|16                                       
BitsStored|0028|0101|US|1|  2|12                                       
HighBit|0028|0102|US|1|  2|11                                       
PixelRepresentation|0028|0103|US|1|  2|0                                        
WindowCenter|0028|1050|DS|1|  4|[1021]                                   
WindowWidth|0028|1051|DS|1|  4|[2178]                                   
RescaleIntercept|0028|1052|DS|1|  2|[0]                                      
RescaleSlope|0028|1053|DS|1|  8|[1.41758]                                
RescaleType|0028|1054|LO|1| 10|[normalized]                             
RETIRED_StudyComments|0032|4000|LT|0|  0|(no value available)                     
PrivateCreator|2001|00fc|LO|1| 22|[PHILIPS IMAGING DD 001]                 
Unknown Tag & Data|2001|fc01|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2001|fc02|??|1|  2|30\20                                    
Unknown Tag & Data|2001|fc03|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2001|fc04|??|1|  0|(no value available)                     
Unknown Tag & Data|2001|fc06|??|1|  2|31\20                                    
Unknown Tag & Data|2001|fc07|??|1|  2|55\20                                    
Unknown Tag & Data|2001|fc08|??|1|  2|31\20                                    
Unknown Tag & Data|2001|fc09|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2001|fc0a|??|1|  2|31\33                                    
Unknown Tag & Data|2001|fc0b|??|1|  8|43\4f\52\4f\4e\41\4c\20                  
Unknown Tag & Data|2001|fc0c|??|1|  2|30\20                                    
Unknown Tag & Data|2001|fc0e|??|1|  2|30\20                                    
Unknown Tag & Data|2001|fc0f|??|1|  2|00\00                                    
Unknown Tag & Data|2001|fc10|??|1|  2|4e\4f                                    
Unknown Tag & Data|2001|fc11|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2001|fc12|??|1|  2|30\20                                    
Unknown Tag & Data|2001|fc13|??|1|  4|01\00\00\00                              
Unknown Tag & Data|2001|fc14|??|1|  4|01\00\00\00                              
Unknown Tag & Data|2001|fc15|??|1|  2|01\00                                    
Unknown Tag & Data|2001|fc16|??|1|  2|00\00                                    
Unknown Tag & Data|2001|fc17|??|1|  4|01\00\00\00                              
Unknown Tag & Data|2001|fc18|??|1|  4|14\00\00\00                              
Unknown Tag & Data|2001|fc19|??|1|  2|31\20                                    
Unknown Tag & Data|2001|fc1a|??|1| 12|00\00\00\00\00\00\00\00\00\00\00\00      
Unknown Tag & Data|2001|fc1b|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2001|fc1c|??|1|  2|4e\4f                                    
Unknown Tag & Data|2001|fc1d|??|1|  2|32\20                                    
Unknown Tag & Data|2001|fc1e|??|1|  0|(no value available)                     
Unknown Tag & Data|2001|fc1f|??|1|  2|4e\4f                                    
Unknown Tag & Data|2001|fc20|??|1|  4|54\53\45\20                              
Unknown Tag & Data|2001|fc21|??|1|  2|30\20                                    
Unknown Tag & Data|2001|fc22|??|1|  4|97\ee\cc\3e                              
Unknown Tag & Data|2001|fc23|??|1|  2|39\30                                    
Unknown Tag & Data|2001|fc24|??|1|  2|30\20                                    
Unknown Tag & Data|2001|fc25|??|1|  4|31\30\30\20                              
Unknown Tag & Data|2001|fc3f|??|1| 12|49\4e\54\45\52\50\4f\4c\41\54\45\20      
Unknown Tag & Data|2001|fc53|??|1|  2|30\20                                    
Unknown Tag & Data|2001|fc5f|??|1|322|fe\ff\00\e0\3a\01\00\00\01\20\fc\00\16\00\00\00\50\48\49\4c\49\50\53\20\49\4d\41\47\49\4e\47\20\44\44\20\30\30\31\01\20\2d\fc\02\00\00\00\14\00\01\20\32\fc\04\00\00\00\00\00\00\00\01\20\33\fc\02\00\00\00\41\50\01\20\35\fc\02\00\00\00\01\00\01\20\36\fc\08\00\00\00\50\41\52\41\4c\4c\45\4c\05\20\fb\00\1a\00\00\00\50\48\49\4c\49\50\53\20\4d\52\20\49\4d\41\47\49\4e\47\20\44\44\20\30\30\31\20\05\20\71\fb\04\00\00\00\d1\49\20\a6\05\20\72\fb\04\00\00\00\a4\d2\11\be\05\20\73\fb\04\00\00\00\de\94\65\a6\05\20\74\fb\04\00\00\00\00\00\9e\42\05\20\75\fb\04\00\00\00\00\80\bb\43\05\20\76\fb\04\00\00\00\00\80\bb\43\05\20\78\fb\04\00\00\00\a9\76\77\41\05\20\79\fb\04\00\00\00\b8\6c\25\c2\05\20\7a\fb\04\00\00\00\02\02\99\41\05\20\7b\fb\02\00\00\00\52\4c\05\20\7e\fb\04\00\00\00\00\00\80\40\05\20\81\fb\02\00\00\00\41\50\05\20\a3\fb\02\00\00\00\30\20\05\20\a4\fb\02\00\00\00\30\20\05\20\a5\fb\02\00\00\00\30\20\05\20\a6\fb\02\00\00\00\30\20\05\20\a7\fb\04\00\00\00\42\4f\44\59 
Unknown Tag & Data|2001|fc60|??|1|  4|01\00\00\00                              
PrivateCreator|2005|00fb|LO|1| 26|[PHILIPS MR IMAGING DD 001]              
Unknown Tag & Data|2005|fb00|??|1|  4|d1\49\20\a6                              
Unknown Tag & Data|2005|fb01|??|1|  4|a4\d2\11\be                              
Unknown Tag & Data|2005|fb02|??|1|  4|de\94\65\a6                              
Unknown Tag & Data|2005|fb03|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb04|??|1|  4|4e\4f\4e\45                              
Unknown Tag & Data|2005|fb05|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb06|??|1|  0|(no value available)                     
Unknown Tag & Data|2005|fb07|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb08|??|1|  4|45\bb\cb\41                              
Unknown Tag & Data|2005|fb09|??|1|  4|b8\6c\25\c2                              
Unknown Tag & Data|2005|fb0a|??|1|  4|e6\34\99\41                              
Unknown Tag & Data|2005|fb0b|??|1|  4|c6\ac\0b\49                              
Unknown Tag & Data|2005|fb0c|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2005|fb0d|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2005|fb0e|??|1|  4|1f\0a\44\3b                              
Unknown Tag & Data|2005|fb0f|??|1|  4|31\30\33\32                              
Unknown Tag & Data|2005|fb10|??|1|  4|32\30\36\34                              
Unknown Tag & Data|2005|fb11|??|1|  2|4d\20                                    
Unknown Tag & Data|2005|fb12|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb13|??|1|  0|(no value available)                     
Unknown Tag & Data|2005|fb14|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb15|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb16|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb17|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb18|??|1|  0|(no value available)                     
Unknown Tag & Data|2005|fb19|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb1a|??|1|  2|00\00                                    
Unknown Tag & Data|2005|fb1b|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb1c|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb1d|??|1|  2|00\01                                    
Unknown Tag & Data|2005|fb1e|??|1|  8|63\6f\6d\70\6f\73\65\20                  
Unknown Tag & Data|2005|fb1f|??|1|  8|63\6f\6d\70\6f\73\65\20                  
Unknown Tag & Data|2005|fb20|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2005|fb21|??|1|  2|01\00                                    
Unknown Tag & Data|2005|fb22|??|1|  2|31\20                                    
Unknown Tag & Data|2005|fb23|??|1|  2|00\00                                    
Unknown Tag & Data|2005|fb25|??|1|  2|00\00                                    
Unknown Tag & Data|2005|fb26|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb27|??|1|  8|4d\49\4e\49\4d\55\4d\20                  
Unknown Tag & Data|2005|fb28|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb29|??|1|  2|31\20                                    
Unknown Tag & Data|2005|fb2a|??|1|  8|39\33\30\34\36\33\34\20                  
Unknown Tag & Data|2005|fb2b|??|1|  2|64\00                                    
Unknown Tag & Data|2005|fb2c|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb2d|??|1|  2|33\20                                    
Unknown Tag & Data|2005|fb2e|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb2f|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb30|??|1|  8|94\ff\8f\46\00\00\00\00                  
Unknown Tag & Data|2005|fb31|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb32|??|1|  0|(no value available)                     
Unknown Tag & Data|2005|fb33|??|1|  4|34\74\93\41                              
Unknown Tag & Data|2005|fb34|??|1|  2|31\20                                    
Unknown Tag & Data|2005|fb35|??|1|  6|50\49\58\45\4c\20                        
Unknown Tag & Data|2005|fb36|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb37|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb38|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb39|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb3a|??|1| 12|42\72\65\61\74\68\20\68\6f\6c\64\20      
Unknown Tag & Data|2005|fb3b|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb3c|??|1|  2|30\20                                    
Unknown Tag & Data|2005|fb3d|??|1|  2|66\00                                    
